,Place Name,Place ID,Latitude,Longitude,rating,Types,Vicinity,Positive,Negative
43,"Mainland China, Dhaka.",ChIJ62avvybEVTcRXH2OW_XoElM,23.8625012,90.3995698,4.2,"['restaurant', 'food', 'point_of_interest', 'establishment']","Plot No 15, 14th Floor, Siaaam Tower, Service Rd, Dhaka",32,47
44,Best Kitchen Restaurant,ChIJN0sAr1rHVTcRJYyzznLzC3Y,23.7838661,90.4375226,4.1,"['restaurant', 'food', 'point_of_interest', 'establishment']","Unnamed Road, Dhaka",33,3
45,The Dining Lounge,ChIJaf3EFnC4VTcR2xMQF1tlHbA,23.7519025,90.42292900000001,4.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","Shotodol Rose Heights, 373/B, Level 3, Shahid Baki Rd, Dhaka",59,1
46,Shake Shack,ChIJHVGV1FO_VTcREKintmwM2z0,23.7538177,90.3702729,4.3,"['restaurant', 'food', 'point_of_interest', 'establishment']","5/4/A Road No.16, House 38/A, Behind The Oxford School, Dhanmondi, Dhaka",9,44
47,Jolpai Restaurant & Party Center,ChIJ0UNt1o-4VTcRgHpe61eqhtc,23.7482201,90.4030249,4.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","18, New Eskataon, Moghbazar Rd, Dhaka",22,5
48,KPR Restaurant & Party Centre,ChIJ5fZaRq64VTcRS_OrttZuyMo,23.7526814,90.38119480000002,3.9,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']","Union Heights (Level 3), 55-2, Bir Uttam Quazi Nuruzzaman Sarak Beside of Square Hospital West, Panthapath, Dhaka",2,2
49,Soi 71,ChIJdTJxi6nHVTcR4UBYjHRDCr4,23.793889800000002,90.4122009,4.1,"['restaurant', 'food', 'point_of_interest', 'establishment']","Level 1 Concord Baksh Tower, 11/A Kemal Ataturk Ave, Dhaka",30,4
50,Absolute BBQ BD,ChIJFfu3c8q4VTcRzODWsYpw26k,23.7383215,90.3783849,4.3,"['restaurant', 'food', 'point_of_interest', 'establishment']","Ahmed and Kazi tower, Level 7, Road 2, 35 Dhanmondi R/A, Dhaka",12,7
51,PERI PASTA,ChIJufUcP-fAVTcRJhFk69WpiD8,23.8033916,90.354748,4.0,"['restaurant', 'food', 'point_of_interest', 'store', 'establishment']","14 Road No.1, Dhaka",1,5
52,The Premium Lounge,ChIJ11t6ijnBVTcRT4wrnD78x5E,23.8180991,90.365232,3.9,"['restaurant', 'food', 'point_of_interest', 'establishment']",Dhaka,10,34
53,Eat & Enjoy,ChIJhwSVQGO4VTcRZOEH8rnCE-c,23.7503843,90.4163209,4.1,"['restaurant', 'food', 'point_of_interest', 'establishment']","Shahid Baki Rd, Dhaka",0,18
54,Xindian Restaurant,ChIJ72b1xVG_VTcR6xXhoyCFUh8,23.751886600000002,90.3684812,4.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","House No.55, 55/A (New), 273 (Old) Road No.: 16 (New), 27(Old, Dhaka",6,11
55,Pizza Inn,ChIJjYDLqou4VTcRe_fRjBFnqBI,23.742013699999998,90.4102648,4.2,"['restaurant', 'food', 'point_of_interest', 'establishment']","2 New Baily Road Green Cozy Cottage, (4th Floor), Lift-4, Dhaka",56,31
56,3 FOOD,ChIJ6YHXmNXHVTcRtKNOWmxdDW8,23.7967431,90.3876868,4.1,"['restaurant', 'food', 'point_of_interest', 'establishment']",Dhaka,47,30
57,ALKADERIA Restaurant,ChIJ60CCIXm4VTcRycPCR1SYbd0,23.7592517,90.4184189,4.1,"['restaurant', 'food', 'point_of_interest', 'establishment']","2/3 East Rampura, DIT Rd, Dhaka",54,8
58,Khushboo Restaurant,ChIJ0aelS5nHVTcR-KdDPPUdscM,23.781860100000003,90.41744990000001,4.1,"['restaurant', 'food', 'point_of_interest', 'establishment']","House no 60/B, Road No 131, 2nd Floor, Gulshan-1, Dhaka",25,12
59,Hakka Dhaka,ChIJgQwY_4y4VTcROtog7BUmq2Y,23.742071,90.41031770000001,4.2,"['restaurant', 'food', 'point_of_interest', 'establishment']","2 Baily Rd, Dhaka",21,0
